label,problem
Lập hệ phương trình,bạn dũng trung bình tiêu thụ hết 15 calo cho mỗi phút bơi và 10 calo cho mỗi phút chạy bộ hôm nay dũng mất 15 giờ cho hai hoạt động trên và 1200 calo được tiêu thụ hỏi hôm nay bạn dũng mất bao nhiêu phút cho mỗi hoạt động
Lập hệ phương trình,có 45 người bác sĩ và luật sư tuổi trung bình của họ là 40 tính số bác sĩ số luật sư biết rằng tuổi trung bình của các bác sĩ là 35 tuổi trung bình của các luật sư là 50
Lập hệ phương trình,bạn an muốn có 1 lít nước ở nhiệt độ 35 c hỏi bạn cần phải đổ bao nhiêu lít nước đang sôi vào bao nhiêu lít nước ở nhiệt độ 15 c lấy nhiệt dung riêng của nước là 4190 jkgk
Lập hệ phương trình,hai người ở hai địa điểm a và b cách nhau 36 km khởi hành cùng một lúc đi ngược chiều nhau và gặp nhau ở một điểm cách a là 2 km nếu cả hai cùng giữ nguyên vận tốc như trường hợp trên nhưng người đi chậm hơn xuất phát trước người kia 6 phút thì họ sẽ gặp nhau ở chính giữa quãng đường tính vận tốc của mỗi người
Lập hệ phương trình,bác tài đi xe đạp từ thị xã về làng cô ba ngân cũng đi xe đạp nhưng từ làng lên thị xã họ gặp nhau khi bác tài đã đi được 1 giờ 30 phút còn cô ba ngân đã đi được 2 giờ một lần khác hai người cũng đi từ hai địa điểm như thế nhưng họ khởi hành đồng thời sau 1 giờ 15 phút họ còn cách nhau 105 km tính vận tốc của mỗi người biết khoảng cách từ làng đến thị xã là 38 km
Lập hệ phương trình,quãng đường ab gồm một đoạn lên dốc dài 4 km đoạn xuống dốc dài 5 km một người đi xe đạp từ a đến b mất 40 phút và đi từ b về a mất 41 phút biết vận tốc lúc lên dốc và xuống dốc là không đổi tính vận tốc lúc lên dốc và vận tốc lúc xuống dốc
Lập hệ phương trình,hai xe khởi hành cùng một lúc từ hai địa điểm a và b cách nhau 130 km và gặp nhau sau 2 giờ tính vận tốc của mỗi xe biết xe đi từ b có vận tốc nhanh hơn xe đi từ a là 5 kmh
Lập hệ phương trình,một ô tô đi quãng đường ab với vận tốc 50 kmh rồi đi tiếp quãng đường bc với vận tốc 45 kmh biết tổng chiều dài quãng đường ab và bc là 165 km và thời gian ô tô đi quãng đường ab ít hơn thời gian ô tô đi quãng đường bc là 30 phút tính thời gian ô tô đi trên quãng đường ab và bc
Lập hệ phương trình,hai vật chuyển động trên một đường tròn đường kính 20 cm xuất phát cùng một lúc từ một điểm nếu chuyển động cùng chiều thì cứ 20 giây chúng lại gặp nhau 1 lần nếu chuyển động ngược chiều thì cứ 4 giây chúng lại gặp nhau tính vận tốc của mỗi vật
Lập hệ phương trình,ga húê cách ga quảng trị 65 km một chiếc xe tải đi từ quảng trị vào húê và một chiếc xe khách đi từ húê ra quảng trị biết xe khách khởi hành sau xe tải 36 phút và sau khi đi được 24 phút thì chúng gặp nhau nếu hai xe khởi hành đồng thời và cùng đi hà nội đi cùng chiều thì sau 13 giờ hai xe gặp nhau tính vận tốc của mỗi xe biết xe khách đi nhanh hơn xe tải
Lập hệ phương trình,một ca nô xuôi dòng một quãng sông dài 12 km rồi ngược dòng quãng sông đó mất 2 giờ 30 phút nếu cũng trên quãng sông ấy ca nô xuôi dòng 4 km rồi ngược dòng 8 km thì hết 1 giờ 20 phút tính vận tốc của ca nô và vận tốc riêng của dòng nước
Lập hệ phương trình,một người đi xe đạp từ a đến b với thời gian định sẵn khi còn cách b 30 km người đó nhận thấy rằng sẽ đến b muộn nửa giờ nếu giữ nguyên vận tốc do đó người ấy tăng vận tốc thêm 5 kmh và đến b sớm hơn nửa giờ so với dự định tính vận tốc lúc đầu của người đó
Lập hệ phương trình,một ô tô đi từ a đến b với vận tốc xác định nếu vận tốc tăng thêm 30 kmh thì thời gian giảm được 1 giờ nếu vận tốc giảm 15 kmh thì thời gian tăng thêm 1 giờ tính vận tốc của ô tô
Lập hệ phương trình,cho một số có hai chữ số nếu đổi chỗ 2 chữ số của nó thì được một số lớn hơn chữ số đã cho là 63 tổng của số đã cho và số mới là 99 tìm số đã cho
Lập hệ phương trình,cho một số tự nhiên có hai chữ số nếu đổi chỗ hai chữ số của nó thì được một số lớn hơn số đã cho là 36 tổng của số đã cho và số mới tạo thành là 110 tìm số đã cho
Lập hệ phương trình,tìm một số có hai chữ số biết rằng tổng các chữ số là 16 nếu đổi chỗ hai chữ số cho nhau ta được một số mới lớn hơn số ban đầu 18 đơn vị
Lập hệ phương trình,tìm hai số tự nhiên biết rằng tổng của chúng bằng 1006 và nếu lấy số lớn chia cho số bé thì được thương là 2 và số dư là 124
Lập hệ phương trình,tổng của hai số bằng 59 hai lần của số này bé hơn 3 lần của số kia là 7 tìm hai số đó
Lập hệ phương trình,tìm hai số tự nhiên biết rằng hiệu của chúng bằng 1275 và nếu lấy số lớn chia cho số nhỏ thì được thương là 3 và số dư là 125
Lập hệ phương trình,số tiền mua 9 quả cam và 8 quả táo rừng là 107 nghìn số tiền mua 7 quả cam và 7 quả táo rừng là 91 nghìn hỏi giá mỗi quả cam và mỗi quả táo rừng là bao nhiêu
Lập hệ phương trình,bảy năm trước tuổi mẹ bằng 5 lần tuổi con cộng thêm 4 năm nay tuổi mẹ vừa đúng gấp 3 lần tuổi con hỏi năm nay mỗi người bao nhiêu tuổi
Lập hệ phương trình,hôm qua mẹ của hằng đi chợ mua 5 quả trứng gà và 5 quả trứng vịt hết 37500 đ hôm nay đi chợ mẹ của hằng mua 3 quả trứng gà và 7 quả trứng vịt hết 36500 đ hỏi giá mỗi quả trứng mỗi loại bao nhiêu tiền biết giá trứng hôm qua và hôm nay chưa thay đổi
Lập hệ phương trình,dân số của thành phố hà nội sau hai năm từ 2000000 thành 2048288 người tính xem hằng năm dân số trung bình tăng bao nhiêu phần trăm biết tỉ lệ gia tăng dân số hàng năm không thay đổi
Lập hệ phương trình,bác an vay 10000000 vnđ của ngân hàng để làm kinh tế trong một năm đầu bác chưa trả được nên số tiền lãi trong năm đầu được chuyển thành vốn để tính lãi năm sau sau 2 năm bác an phải trả là 11881000 vnđ hỏi lãi suất cho vay một năm là bao nhiêu phần trăm
Lập hệ phương trình,hai đội công nhân cùng làm một đoạn đường trong 24 ngày thì xong mỗi ngày phần việc đội 1 làm gấp rưỡi đội 2 hỏi nếu làm một mình thì mỗi đội làm xong đoạn đường đó trong bao lâu
Lập hệ phương trình,hai người thợ cùng làm chung một công việc trong 16 giờ thì xong nếu người thứ nhất làm 3 giờ và người thứ hai làm 6 giờ thì chỉ hoàn thành được 25 công việc hỏi nếu làm riêng thì mỗi người hoàn thành công việc đó trong bao lâu
Lập hệ phương trình,hai đội xây dựng làm chung một công việc và dự định hoàn thành trong 12 ngày nhưng khi làm chung được 8 ngày thì đội i được điều động đi làm việc khác tuy chỉ còn một mình đội ii làm việc nhưng do cải tiến cách làm năng suất của đội ii tăng lên gấp đôi nên họ đã làm xong phần việc còn lại trong 35 ngày hỏi với năng suất ban đầu thì mỗi đội làm một mình trong bao lâu để xong công việc
Lập hệ phương trình,hai công nhân cùng sơn cửa cho một công trình trong 4 ngày thì xong việc nếu người thứ nhất làm một mình trong 9 ngày sau đó có thêm người thứ hai đến làm tiếp trong 1 ngày nữa thì xong việc hỏi mỗi người nếu làm một mình thì mất bao lâu để xong việc
Lập hệ phương trình,hai cần cẩu lớn bốc vỡ một lô hàng ở cảng chân mây sau 3 giờ thì có thêm 5 cần cẩu bé có công suất nhỏ hơn cùng làm việc cả 7 cần cẩu cùng làm việc 3 giờ nữa thì xong hỏi mỗi cần cẩu làm việc một mình thì bao lâu sẽ xong việc biết rằng nếu cả 7 cần cẩu cùng làm việc từ đầu thì trong 4 giờ sẽ xong việc
Lập hệ phương trình,hai tổ công nhân cùng làm chung một công việc và dự định hoàn thành trong 6 giờ nhưng khi làm chung trong 5 giờ thì tổ ii được điều động đi làm việc khác do cải tiến cách làm năng suất của tổ i tăng 15 lần nên tổ i đã hoàn thành phần công việc còn lại trong 2 giờ hỏi với năng suất ban đầu nếu mỗi tổ làm một mình thì sau bao nhiêu giờ sẽ làm xong công việc
Lập hệ phương trình,tính độ dài hai cạnh góc vuông của một tam giác vuông biết nếu tăng mỗi cạnh lên 3 cm thì diện tích tam giác đó sẽ tăng lên 36 cm² và nếu một cạnh giảm đi 2 cm cạnh kia giảm 4 cm thì diện tích của tam giác đó giảm đi 26 cm²
Lập hệ phương trình,nhà bạn đào có một mảnh vườn trồng cà chua vườn được làm thành nhiều luống để trồng cà chua biết số cây trong mỗi luống bằng nhau đào tính rằng nếu tăng thêm 8 luống rau nhưng mỗi luống trồng ít đi 3 cây thì tổng số cây trong vườn giảm đi 54 cây nếu giảm đi 4 luống nhưng mỗi luống trồng tăng thêm 2 cây thì tổng số cây trong vườn sẽ tăng thêm 32 cây hỏi vườn nhà đào trồng bao nhiêu cây cà chua
Lập hệ phương trình,sân trường của trường trần phú là hình chữ nhật có chu vi 340 m biết 3 lần chiều dài lớn hơn 4 lần chiều rộng là 20 mét tính chiều dài và chiều rộng của sân trường
Lập hệ phương trình,một mảnh đất hình chữ nhật có chu vi 80 m nếu tăng chiều dài thêm 3 m và tăng chiều rộng thêm 5 m thì diện tích của mảnh đất tăng thêm 195 m² tính chiều dài và chiều rộng của mảnh đất
Lập hệ phương trình,một thửa ruộng hình chữ nhật nếu tăng chiều dài thêm 2 m và chiều rộng thêm 3 m thì diện tích tăng 100 m² nếu chiều dài và chiều rộng cùng giảm 2 m thì diện tích giảm đi 68 m² tính diện tích thửa ruộng đó
Lập hệ phương trình,tính chu vi của một hình chữ nhật biết rằng nếu tăng chiều dài và chiều rộng lên 5 m thì diện tích hình chữ nhật tăng 225 m² nếu tăng chiều rộng lên 2 m và giảm chiều dài 5 m thì diện tích hình chữ nhật không thay đổi
Lập hệ phương trình,trong phòng học có một số dãy bàn ghế dài nếu xếp mỗi dãy 3 học sinh thì 6 học sinh không có chỗ ngồi nếu xếp mỗi dãy 4 học sinh thì thừa một dãy hỏi lớp có bao nhiêu dãy bàn ghế và bao nhiêu học sinh
Lập hệ phương trình,để sửa một ngôi nhà cần một số thợ làm việc trong thời gian quy định nếu giảm 3 người thì mất thêm 6 ngày để hoàn thành nếu tăng thêm 2 người sẽ hoàn thành sớm hơn 2 ngày hỏi theo quy định thì cần bao nhiêu thợ và làm trong bao nhiêu ngày biết rằng khả năng lao động của mỗi công nhân đều như nhau
Lập hệ phương trình,trong một phòng họp có một số ghế dài nếu xếp mỗi ghế 5 người thì có 9 người không có chỗ ngồi nếu xếp mỗi ghế 6 người thì thừa 1 ghế hỏi phòng họp có bao nhiêu ghế và bao nhiêu người dự họp
Lập hệ phương trình,tìm 2 số biết số thứ nhất cộng số thứ hai bằng 1006 và nếu lấy số thứ nhất nhân 2 và số thứ hai nhân 3 thì ta được số 2618
Lập hệ phương trình,tìm 2 số biết số lớn lớn hơn số bé là 30 2 lần số bé trừ đi số lớn bằng 0
Lập hệ phương trình,mua 10 cái váy và 25 cái quần hết 21250000 đồng biết mua 3 cái váy thì bằng mua 1 cái quần tìm số tiền váy và quần
Lập hệ phương trình,một mảnh đất hình chữ nhật có chiều dài hơn chiều rộng là 12 m biết rằng khi nhân chu vi lên 2 lần ta được số đo là 240 m tìm chiều dài và chiều rộng
Lập hệ phương trình,một ô tô và một xe máy ở hai địa điểm a và b cách nhau 180 km khởi hành cùng một lúc đi ngược chiều nhau và gặp nhau sau 2 giờ biết vận tốc của ô tô lớn hơn vận tốc của xe máy 10 kmh tính vận tốc mỗi xe
Lập hệ phương trình,một ca nô đi 108 km cùng chiều và 63 km ngược chiều dòng sông thì mất hết 7 giờ một ngày nọ cũng ca nô đó đi 81 km cùng chiều và 84 km ngược chiều thì cũng mất 7 giờ hỏi vận tốc của ca nô và vận tốc của dòng nước
Lập hệ phương trình,một xe ô tô dự định đi từ a đến b trong một thời gian nhất định nếu xe chạy mỗi giờ nhanh hơn 10 km thì đến nơi sớm hơn dự định 3 giờ nếu xe chạy chậm lại mỗi giờ 10 km thì đến nơi chậm nhất 5 giờ tính vận tốc của xe lúc đầu thời gian dự định và chiều dài quãng đường ab
