label,problem
chuyển động thẳng biến đổi đều,gia tốc là   đại lượng đại số đặc trưng cho sự biến thiên nhanh hay chậm của chuyển động đại số đặc trung cho tính không đổi của vận tốc vectơ đặc trưng cho sự biến thiên nhanh hay chậm của chuyển động vectơ đặc trưng cho sự biến thiên nhanh hay chậm của vận tốc
chuyển động thẳng biến đổi đều,vectơ gia tốc củachuyển động thẳng biến đổi đều có phương vuông góc với vectơ vận tốc có độ lón không đổi cùng hướng với vectơ vận tốc ngược hướng với vectơ vận tốc
chuyển động thẳng biến đổi đều,phương trình chuyển động của   vật trên trục ox có dạng x = −2t2 + 15t +10 trong đó t tính bằng giây x tính bằng mét vật này chuyển động nhanh dần đều rồi chậm dần đều theo chiều âm của trục ox chậm dần đều theo chiều dương rồi nhanh dần đều theo chiều âm của trục ox nhanh dần đều rồi chậm dần đều theo chiều dương của trục ox chậm dần đều rồi nhanh dần đều theo chiều âm của trục ox
chuyển động thẳng biến đổi đều,  vật chuyển động thẳng chậm dần đều có vận tốc ban đầu v0 gia tốc có độ lớn a không đổi phương trình vận tốc có dạng v = v0 + at vật này có tích va >0 a luôn dương v tăng theo thời gian a luôn ngược dấu với v
chuyển động thẳng biến đổi đều,  vật chuyển động trên đoạn thẳng tại   thời điểm vật có vận tốc v và gia tốc a chuyển động có gia tốc a âm là chuyển động chậm dần đều gia tốc a dương là chuyển động nhanh dần đều av < 0 là chuyển chậm dần đều vận tốc v âm là chuyển động nhanh dần đều
chuyển động thẳng biến đổi đều,chọn ý sai chuyển động thẳng nhanh dần đều có vectơ gia tốc ngược chiều với vectơ vận tốc vận tốc tức thời là hàm số bậc nhất của thời gian tọa độ là hàm số bậc hai của thời gian gia tốc có độ lớn không đổi theo thời gian
chuyển động thẳng biến đổi đều,chuyển động thẳng chậm dần đều có quĩ đạo là đường cong bất kì độ lớn vectơ gia tốc là   hằng số ngược chiều với vectơ vận tốc của vật quãng đường đi được của vật không phụ thuộc vào thời gian vectơ vận tốc vuông góc với quĩ đạo của chuyển động
chuyển động thẳng biến đổi đều,đồ thị vận tốc theo thời gian của chuyển động thẳng như hình vẽ chuyển động thẳng nhanh dần đều là đoạn v ms mn no op pq
chuyển động thẳng biến đổi đều,chọn ý sai khi   chất điểmchuyển động thẳng biến đổi đều thì nó có gia tốc không đổi tốc độ tức thời tăng đều hoặc giảm đều theo thời gian gia tốc tăng dần đều theo thời gian thể lúc đầu chậm dần đều sau đó nhanh dần đều
chuyển động thẳng biến đổi đều,chọn phát biểu đúng gia tốc của chuyển động thẳng nhanh dần đều bao giờ cũng lón hcm gia tốc của chuyển động thẳng chậm dần đều chuyển động thẳng nhanh dần đều có gia tốc lớn thì có vận tốc lớnchuyển động thẳng biến đổi đều có gia tốc tăng giảm đều theo thời gian gia tốc trong chuyển động thẳng nhanh dần đều có phương chiều và độ lớn không đổi
