label,problem
rơi tự do,từ độ cao 441 m thả rơi  viên bi hỏi sau bao lâu viên bi chạm đất tính vận tốc viên bi lúc đó
rơi tự do, hòn đá rơi từ miệng đến đáy giếng mất 25s tính độ sâu của giếng
rơi tự do, vật nặng rơi từ độ cao 20 m xuống đất a tính thời gian rơi b xác định vận tốc của vật khi chạm đất
rơi tự do,từ độ cao h thả  viên bi rơi tự do a tính quãng đường viên bi rơi trong 3 s đầu tiên  trong giây thứ 3 b sau 5 s kể từ lúc bắt đầu rơi viên bi chạm đất tính h  vận tốc của viên bi khi chạm đất
rơi tự do, vật rơi tự do từ độ cao 45 m a tính thời gian rơi  vận tốc của vật khi chạm đất b tính quãng đường vật rơi trong giây cuối cùng
rơi tự do, vật rơi tự do trong giây cuối rơi được 35 m tính thời gian từ lúc bắt đầu rơi đến khi chạm đất  độ cao nơi thả vật
rơi tự do,từ  vị trí cách mặt đất  độ cao h thả rơi  vật a tính quãng đường vật rơi trong 2 s đầu tiên b trong 1s trước khi chạm đất vật rơi được 20 m tính thời gian từ lúc bắt đầu rơi đến khi chạm đất từ đó suy ra độ cao nơi thả vật c tính vận tốc của vật khi chạm đất
rơi tự do,thả  vật từ độ cao h so với mặt đất a tính quãng đường mà vật rơi tự do di được trong giây thứ ba trong khoảng thời gian đó vận tốc của vật đã tăng được bao nhiêu b biết khi chạm đất vận tốc của vật là 32 ms tìm h
rơi tự do,hai vật a b được thả rơi tự do cùng  độ cao vật b rơi sau vật a 05 s a sau 2 s kể từ lúc vật a bắt đầu rơi hai vật cách nhau bao nhiêu mét b tính vận tốc của vật tại thời điểm này
rơi tự do, vật rơi tự do không vận tốc đầu từ độ cao 45 m xuống đất a tính thời gian vật rơi 10 m đầu tiên  thời gian vật rơi 10 m cuối cùng trước khi chạm đất
rơi tự do, vật được thả rơi tự do không vận tốc đầu từ độ cao h so với mặt đất thời gian vật rơi là 4 giây a tính độ cao h tốc độ của vật khi vật chạm đất b tính quãng đường vật rơi trong giây cuối cùng trước khi chạm đất
rơi tự do, hòn đá rơi tự do từ miệng  giếng sâu 20m so với mặt nước a hỏi sau bao lâu kể từ lúc buông hòn đá người quan sát nghe tiếng hòn đá chạm nước  tốc độ của hòn đá khi đó là bao nhiêu biết vận tốc truyền âm trong không khí là 340ms  lấy g 10 ms2
rơi tự do,người ta thả  hòn đá rơi tự do từ  miệng giếng sau 2 giây người ta nghe được tiếng hòn đá chạm mặt nước a tính độ cao từ miệng giếng đến mặt nước b tính vận tốc của hòn đá khi chạm mặt nước
rơi tự do, vật được thả rơi tự do không vận tốc đầu từ độ cao h so với mặt đất cho g 10 ms2 thời gian vật rơi 10 m cuối cùng trước khi chạm đất là 02 s tính độ cao h thời gian rơi  tốc độ của vật khi chạm đất
rơi tự do, vật được thả rơi tự do không vận tốc đầu từ độ cao h so với mặt đất cho g 10 ms2 thời gian vật rơi 20 m cuối cùng trước khi chạm đất là 05 s tính độ cao h thời gian rơi  tốc độ của vật khi chạm đất
rơi tự do,hai vật a  b được thả rơi tự do tại cùng  vị trí có độ cao h so với mặt đất vật b được thả rơi sau vật a  thời gian là 01s hỏi sau bao lâu kể từ lúc thả vật a thì khoảng cách giữa chúng là 2m lấy g 10 ms2 xem như độ cao ban đầu đủ lớn
rơi tự do, vật rơi tự do không vận tốc đầu tại nơi có g 10ms2 trong 2s cuối cùng trước khi chạm đất vật rơi được 60m tính thời gian rơi độ cao ban đầu  tốc độ của vật khi chạm đất
rơi tự do, vật rơi tự do không vận tốc đầu tại nơi có gia tốc trọng trường g trong giây thứ 3 quãng đường rơi được là 245 m  tốc độ của vật khi vừa chạm đất là 392 ms tính g  độ cao nơi thả vật
rơi tự do,tại cùng  vị trí có độ cao h so với mặt đất người ta lần lượt thả hai vật rơi tự do không vận tốc đầu sau 2 s kể từ lúc vật thứ hai bắt đầu rơi khoảng cách giữa hai vật là 25 m tính xem vật thứ hai rơi sau vật thứ nhất bao lâu cho g 10 ms2
rơi tự do, vật được thả rơi tự do không vận tốc đầu từ độ cao h so với mặt đất tại nơi có gia tốc trọng trường g 10 ms2 quãng đường vật rơi trong nửa thời gian sau dài hơn quãng đường vật rơi trong nửa thời gian đầu 40m tính h thời gian rơi  tốc độ của vật khi chạm đất
rơi tự do, vật được thả rơi tự do không vận tốc đầu từ độ cao h so với mặt đất tại nơi có gia tốc trọng trường g 10 ms2 quãng đường vật rơi trong nửa thời gian sau dài hơn quãng đường vật rơi trong nửa thời gian đầu 10 m tính h thời gian rơi  tốc độ của vật khi chạm đất
rơi tự do, vật được thả rơi tự do không vận tốc đầu từ độ cao h so với mặt đất tại nơi có gia tốc trọng trường g 10 ms2 thời gian vật rơi nửa quãng đường đầu dài hơn lần thời gian vật rơi nửa quãng đường sau 1 giây tính h thời gian rơi  tốc độ của vật khi chạm đất
rơi tự do, vật được thả rơi tự do không vận tốc đầu từ độ cao h so với mặt đất tại nơi có gia tốc trọng trường g 10 ms2 thời gian vật rơi nửa quãng đường đầu dài hơn thời gian vật rơi nửa quãng đường sau 3 giây tính h thời gian rơi  tốc độ của vật khi chạm đất
rơi tự do, vật rơi tự do từ độ cao 45 m g 10 ms2 cho thời gian rơi lúc bắt đầu rơi trực tiếp xuống hướng xuống chọn tọa độ tại mặt đất chiều dương hướng lên lập phương trình chuyển động của vật tìm vận tốc khi vật ở cách đất 25 m
rơi tự do,từ điểm a cách mặt đất 48 m  vật nhỏ được ném lên cao theo phương thẳng đứng với vận tốc ban đầu 5 ms2 lấy g 10 ms2 chọn tọa độ tại mặt đất chiều dương hướng lên a viết phương trình chuyển động b xác định độ cao cực đại mà vật đạt được so với mặt đất c xác định thời gian  vận tốc của vật ngay khi chạm đất
rơi tự do,từ  đỉnh tháp người ta thả rơi  vật  giây sau ở tầng tháp thấp hơn 10 m người ta thả rơi vật thứ 2 hai vật sẽ đụng nhau sau bao lâu kể từ khi vật thứ nhất được thả lấy g 10 ms2
rơi tự do,ở  tầng cách mặt đất 45 m  người thả  vật rơi tự do  giây sau người đó ném thẳng đứng xuống dưới hai vật chạm đất cùng  lúc tính vận tốc lúc ném vật thứ hai g 10 ms2
rơi tự do,từ độ cao h 20 m phải ném  vật theo phương thẳng đứng xuống dưới với vận tốc bằng bao nhiêu để vật này tới mặt đất sớm hơn 1 giây so với vật được thả rơi tự do g 10 ms2
rơi tự do, vật rơi tự do từ  độ cao h biết rằng trong ba giây cuối cùng vật rơi được quãng đường bằng sáu giây đầu tiên lấy g 10 ms2 tính thời gian vật rơi cho tới khi chạm đất  độ cao h tính vận tốc của vật lúc chạm đất
rơi tự do,từ độ cao h 20 m phải ném  vật theo phương thẳng đứng xuống dưới với vận tốc bằng bao nhiêu để vật này tới mặt đất sớm hơn 1 giây so với vật được thả rơi tự do g 10 ms2
rơi tự do,từ  đỉnh tháp cách mặt đất 80m người ta thả rơi  vật 2 giây sau ở tầng tháp thấp hơn 10m người ta ném vật thứ hai xuống theo hướng thẳng đứng để hai vật chạm đất cùng lúc vận tốc của vật thứ hai phải là g 10ms2
