label,problem
tỉ lệ phần trăm,hai lớp 9 a và 9 b có tổng số học sinh là 84 trong đợt vận động mua bút ủng hộ nạn nhân chất độc màu da cam mỗi học sinh lớp 9 a mua 3 bút mỗi học sinh lớp 9 b mua 2 bút tính số học sinh mỗi lớp biết rằng tổng số bút hai lớp mua là 209 chiếc đs số hs lớp 9 a là 41 hs lớp 9 b là 43 hs
tỉ lệ phần trăm,cuối năm học cô lan mua thước compa làm phần thưởng tặng học sinh có tiến bộ trong học tập thước giá 3000 đcây compa giá 6000 đcây tổng số thước và compa là 40 cây và cô lan đã bỏ ra số tiền là 150000 để mua hỏi có bao nhiêu thước bao nhiêu compa
tỉ lệ phần trăm,sau khi xem bảng giá mẹ an đưa 350000 đồng nhờ an mua 1 bàn ủi 1 bộ lau nhà hôm nay đúng đợt khuýên mãi bàn ủi giảm 10 bộ lau nhà giảm 20 nên an chỉ trả 300000 đồng hỏi giá tiền của bàn ủi và bộ lau nhà lúc đầu là bao nhiêu đs 200000150000
tỉ lệ phần trăm,  hình chữ nhật có chu vi là 96 m nếu tăng chiều rộng 3 m và giảm chiều dài 4 m thì diện tích tăng 6 m2 tính diện tích của hình chữ nhật lúc đầu đs 540
tỉ lệ phần trăm,ông ba có chín trăm triệu đồng ông dùng   phần số tiền này để gởi ngân hàng với lãi suất 75   năm phần còn lại ông góp vốn với   người bạn để kinh doanh sau   năm ông thu về số tiền cả vốn và lãi từ hai nguồn trên là   tỉ hai mươi triệu đồng biết rằng tiền lãi khi kinh doanh bằng 25 số tiền vốn ban đầu hỏi ông ba đã gởi ngân hàng bao nhiêu tiền và góp bao nhiêu tiền với người bạn để kinh doanh đs 600300
tỉ lệ phần trăm,cuối học kì i số học sinh giỏi của lớp 9 a bằng 20 số học sinh cả lớp đến cuối học kì ii lớp có thêm 2 bạn đạt học sinh giỏi nên số học sinh giỏi ở học kì ii bằng 25 số học sinh cả lớp hỏi lớp 9 a có bao nhiêu học sinh
tỉ lệ phần trăm,năm ngoái dân số hai tỉnh a và b tổng cộng là 3 triệu người theo thống kê thì năm nay tỉnh a tăng 2 còn tỉnh b tăng 18 nên tổng số dân tăng thêm của cả hai tỉnh là 00566 triệu người hỏi năm ngoái mỗi tỉnh dân số là bao nhiêu mathnd đs 40
tỉ lệ phần trăm,  siêu thị a có các mặt hàng giày dép đồng giá các mặt hàng quần áo đồng giá tổng giá tiền niêm yết của   đôi giày và   bộ quần áo là 850 000 đồng biết giá tiền niêm yết của 2 bộ quần áo ít hơn giá tiền niêm yết của 3 đôi giày là 50 000 đồng a hỏi giá tiền niêm yết của   bộ quần áo   đôi giày là bao nhiêu b nhân dịp ngày quốc tế phụ nữ 83 siêu thị a đã mở ra chương trình khuýên mãi như sau các mặt hàng giày dép được giảm 20 so với giá niêm yết các mặt hàng quần áo được giảm 25 so với giá niêm yết ngoài ra nếu khách hàng mua hàng có hóa đơn từ 2 000 000 đồng trở lên sẽ được giảm tiếp 10 so với giá tiền đã mua trong dịp này   người đã mua 5 bộ quần áo và 3 đôi giày hỏi người đó đã trả bao nhiêu tiền đs 3500005000002443500
tỉ lệ phần trăm,trường trung học cơ sở a và trường trung học cơ sở b có tổng cộng 810 học sinh thi đậu vào lớp 10 thpt công lập đạt tỉ lệ trúng tuỷên là 90 nếu tính riêng từng trường thì trường a có tỉ lệ thí sinh thi đậu là 92 trường b có tỉ lệ thí sinh thi đậu là 88 hỏi mỗi trường có bao nhiêu thí sinh dự thi
tỉ lệ phần trăm,  trường tổ chức cho 250 người bao gồm giáo viên và học sinh đi tham quan đại nam biết giá vào cổng của   giáo viên là 80000 đồng của   học sinh là 60000 đồng nhân ngày giỗ tổ hùng vương nên được giảm 5 cho mỗi vé vào cổng vì vậy mà nhà trường chỉ phải trả số tiền là 14535000 đồng hỏi có bao nhiêu giáo viên bao nhiêu học sinh đáp án 15 giáo viên 235 học sinh
