label,problem
chuyển động thẳng biến đổi đều,viết công thức tính vận tốc tức thời của  vật chuyển động tại  điểm trên quỹ đạo cho biết yêu cầu về độ lớn của các đại lượng trong công thức đó
chuyển động thẳng biến đổi đều,vectơ vận tốc tức thời tại  điểm của  chuyển động thẳng được xác định như thế nào
chuyển động thẳng biến đổi đều,thế nào là chuyển động thẳng biến đổi đều
chuyển động thẳng biến đổi đều,thế nào là chuyển động nhanh dần đều thế nào là chuyển động chậm dần đều lấy thí dụ minh họa yếu tố nào đặc trưng cho sự nhanh hay chậm đó
chuyển động thẳng biến đổi đều,gia tốc tức thời trung bình là gì gia tốc tức thời là gì
chuyển động thẳng biến đổi đều,gia tốc của chuyển động thẳng nhanh chậm dần đều có đặc điểm gì gia tốc được đo bằng đơn vị nào chiều  vectơ gia tốc của các chuyển động này có đặc điểm gì
chuyển động thẳng biến đổi đều,vectơ gia tốc trong chuyển động thẳng nhanh dần đều được xác định như thế nào
chuyển động thẳng biến đổi đều,bạn nam đố bạn bắc cho gia tốc a hỏi chất điểm chuyển động theo chiều nào bắc trả lời gia tốc a hướng theo chiều dương trục tọa độ vậy chất điểm chắc chắn chuyển động theo chiều dương trục tọa độ bạn bắc trả lời thế đúng hay sai vì sao
chuyển động thẳng biến đổi đều,chất điểm m chuyển động trên  đường gấp khúc ở mỗi đoạn thẳng của đường gấp khúc gia tốc của chất điểm có độ lớn phương chiều không đổi hỏi chuyển động của chất điểm m có phải là chuyển động thẳng biến đổi đều không tại sao
chuyển động thẳng biến đổi đều,viết công thức tính quãng đường đi được của chuyển động thẳng nhanh chậm dần đều nói rõ dấu của các đại lượng tham gia o công thức đó quãng đường đi được có phụ thuộc o thời gian theo hàm số dạng gì nếu cho đồ thị dạng v t hay a v thì ta tính quãng đường bằng cách nào vẽ hình  cho thí dụ
chuyển động thẳng biến đổi đều,viết phương trình chuyển động của chuyển động thẳng nhanh chậm dần đều nêu phương pháp xác định các đại lượng trong công thức  các khả năng thường gặp trong đề bài
chuyển động thẳng biến đổi đều,thiết lập công thức tính gia tốc của chuyển động thẳng biến đổi đều theo vận tốc  quãng đường đi được
chuyển động thẳng biến đổi đều,hãy nêu  vẽ các dạng đồ thị của chuyển động thẳng biến đổi đều trường hợp tổng quát
chuyển động thẳng biến đổi đều, đoàn tàu đang chuyển động với v0 72 kmh thì hãm phanh chuyển động chậm dần đều sau 10 giây đạt v1 54 kmh a sau bao lâu kể từ lúc hãm phanh thì tàu đạt v 36 kmh  sau bao lâu thì dừng hẳn b tính quãng đường đoàn tàu đi được cho đến lúc dừng lại
chuyển động thẳng biến đổi đều, ôtô đang chuyển động thẳng đều với vận tốc 36kmh bỗng hãm ga  chuyển động chậm dần đều tính gia tốc của ôtô biết rằng sau khi ôtô chạy được quãng đường 200m thì ôtô dừng lại
chuyển động thẳng biến đổi đều, đoàn tàu bắt đầu chuyển động nhanh dần đều khi đi hết 1 km thứ nhất thì v1 10 ms tính vận tốc v sau khi đi hết 2 km
chuyển động thẳng biến đổi đều, chiếc xe lửa chuyển động trên đoạn thẳng qua điểm a với v 20 ms a 2 ms2 tại b cách a 100 m tìm vận tốc của xe khi đến b
chuyển động thẳng biến đổi đều, chiếc canô chạy với v 16 ms a 2 ms2 cho đến khi đạt được v 24 ms thì bắt đầu giảm tốc độ cho đến khi dừng hẳn biết canô bắt đầu tăng vận tốc cho đến khi dừng hẳn là 10 s hỏi quãng đường canô đã chạy
chuyển động thẳng biến đổi đều, xe chuyển động nhanh dần đều đi được s1 24 m s2 64 m trong 2 khoảng thời gian liên tiếp bằng nhau là 4s xác định vận tốc ban đầu  gia tốc
chuyển động thẳng biến đổi đều, xe chở hàng chuyển động chậm dần đều với v0 25 ms a 2 ms2 a tính vận tốc khi nó đi thêm được 100 m b quãng đường lớn nhất mà xe có thể đi được
chuyển động thẳng biến đổi đều, xe máy đang đi với v 504 kmh bỗng người lái xe thấy có ổ gà trước mắt cách xe 245m người ấy phanh gấp  xe đến ổ gà thì dừng lại a tính gia tốc b tính thời gian hãm phanh
