label,problem
chuyển động thẳng đều, phương trình chuyển động của  chất điểm dọc theo trục Ox có dạng x = 5 + 60t km t đo bằng giờ chất điểm đó xuất phát từ điểm nào  chuyển động với vận tốc bằng bao nhiêu a từ điểm o với vận tốc 5kmh b từ điểm o với vận tốc 60 kmh c từ điểm m cách o là 5 km với vận tốc 5 kmh d từ điểm m cách o là 5 km với vận tốc 60 kmh
chuyển động thẳng đều, chọn câu sai a đồ thị tọa độ thời gian của chuyển động thẳng đều là  đường thẳng xiên góc b đồ thị tọa độ thời gian của chuyển động thẳng bao giờ cũng là  đường thẳng c trong chuyển động thẳng đều đồ thị theo thời gian của tọa độ  vận tốc đều là những đường thẳng d đồ thị vận tốc thời gian của chuyển động thẳng đều là  đường thẳng song song với trục Ot
chuyển động thẳng đều,  vật chuyển động thẳng đều theo trục Ox chọn gốc thời gian là lúc bắt đầu khảo sát chuyển động tại các thời điểm t1 = 2 s  t2 = 4 s tọa độ tương ứng của vật là x1 = 8 m  x2 = 16 m kết luận nào sau đây là không chính xác a phương trình chuyển động của vật x = 4t m s b vận tốc của vật có độ lớn 4 ms c vật chuyển động cùng chiều dương trục Ox d thời điểm ban đầu vật cách gốc tọa độ O là 8 m
chuyển động thẳng đều, trong những phương trình dưới đây phương trình nào biểu diễn qui luật của chuyển động thẳng đều a x = 3t + 7 m s b x = 12 3t2 m s c v = 5 t ms s d x = 5t2 m s
chuyển động thẳng đều,  ô tô chuyển động thẳng đều với tốc độ 50kmh biết ô tô xuất phát từ  địa điểm cách bến xe 15km chọn gốc tọa độ tại vị trí xuất phát chiều dương là chiều chuyển động của ô tô phương trình chuyển động của ô tô là a x = 50t 15 b x = 50t c x = 50t + 15 d x = 50t
chuyển động thẳng đều, phương trình chuyển động của chất điểm dọc theo trục Ox có dạng x = 2t 10 km giờ quãng đường đi được của chất điểm sau 3h là a 6km b 6km c 4km d 4km
chuyển động thẳng đều,  vật chuyển động đều từ A đến B rồi rẽ phải  góc 90 độ để đến C biết AB = 600m BC = 800m  thời gian đi mất 20 phút tốc độ trung bình của vật bằng a 70mphút b 50mphút c 800mphút d 600mphút
chuyển động thẳng đều,  người bơi dọc theo chiều dài 100m của bể bơi hết 60s rồi quay về lại chỗ xuất phát trong 70s trong suốt quãng đường đi  về tốc độ trung bình của người đó là a 1538ms b 1876ms c 3077ms d 7692ms
chuyển động thẳng đều,  xe chuyển động thẳng không đổi chiều 2 giờ đầu xe chạy với tốc độ trung bình 60kmh 3 giờ sau xe chạy với tốc độ trung bình 40kmh tốc độ trung bình của xe trong suốt thời gian chạy là a 50kmh b 48kmh c 44kmh d 34kmh
chuyển động thẳng đều,  xe chuyển động thẳng không đổi chiều có tốc độ trung bình là 20 kmh trên 14 đoạn đường đầu  40 kmh trên 34 đoạn đường còn lại vận tốc trung bình của xe trên cả đoạn đường là a 30kmh b 32kmh c 128kmh d 40kmh
chuyển động thẳng đều,  người đi xe đạp trên  đoạn thẳng AB trên 13 đoạn đường đầu đi với vận tốc v1=20 kmh 13 đoạn giữa đi với vận tốc v2=15 kmh  đoạn cuối với vận tốc v3=10 kmh tốc độ trung bình của xe đạp trên cả đoạn đường AB gần giá trị nào sau đây nhất a 18 kmh b 9 kmh c 15 kmh d 14 kmh
chuyển động thẳng đều,  ô tô chạy trên  đoạn đường thẳng từ địa điểm A đến địa điểm B phải mất  khoảng thời gian t tốc độ của ô tô trong  phần ba của khoảng thời gian này là 30 kmh trong  phần ba tiếp theo của khoảng thời gian này là 60 kmh tốc độ trung bình trong cả quá trình đi từ A đến B là 50 kmh tốc độ của ô tô trong  phần ba còn lại của khoảng thời gian t là a 43 kmh b 100 kmh c 60 kmh d 47 kmh
chuyển động thẳng đều, trong các phương trình chuyển động thẳng đều sau đây phương trình nào biểu diễn chuyển động không xuất phát từ gốc tọa độ  ban đầu hướng về gốc tọa độ a x = 15 + 40t km h b x = 80 30t km h c x = 60t km h d x = 60 20t km h
